id,user_location,text,user_name,user_followers,id_str,created,retweet_count,polarity,time
1,Florida,RT @jsolomonReports: CIA’s former station chief in Moscow says Obama intelligence community’s assessment that Russia tried to help Trump wh…,claudiagaetana,3602,1252395176842031112,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.347757
2,"GA, NC, SC, TN region","@MEPFuller But Trump didn’t “fill it up.” Yes, he made purchases. There’s more capacity. And now it’s practically f… https://t.co/Udymy8hcOR",JimjamFr,637,1252395177001406466,2020-04-21T00:34:13,0,0.5,2020-04-20T18:34:18.415029
3,"Colorado Springs, CO","RT @IrvHalter: Further proof he is mentally deranged... and/or a congenital liar. Either way, he needs to go... and We, the People, can mak…",MizBraveheart,62,1252395177177542664,2020-04-21T00:34:13,0,-0.05,2020-04-20T18:34:18.445207
4,🇨🇦,RT @JoeBiden: The office of the presidency comes with the ultimate responsibility for the biggest decisions in the world. Every great presi…,HereToEmphasize,448,1252395177387278336,2020-04-21T00:34:13,0,0.4,2020-04-20T18:34:18.456789
5,"California, USA",No I still think they do not know how to govern and Trump definitely does not know how to lead so vote blue up and… https://t.co/8xtwh8zRGo,AveryPatrishia,2943,1252395177181802496,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.522161
6,"California, USA","RT @darhar981: Pelosi snacks on $13 @ pt ice cream while Americans lose their paychecks.”
Americans go Hungry and Americans wait in Food Ba…",Lindanap123,5872,1252395177353703424,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.525836
7,Gaya/Bhopal/Newark CA,"RT @kylegriffin1: Trump: ""I haven't left the White House in months except for a brief moment to give a wonderful ship the Comfort—""

@Yamic…",bk_agrawal,353,1252395177802559489,2020-04-21T00:34:13,0,0.25,2020-04-20T18:34:18.534841
8,rural farm NC,"RT @kylegriffin1: PBS's @Yamiche: ""You seem to maybe possibly be implying that talking about testing is a personal attack on you ... There'…",LoonAuntie,2711,1252395177483702278,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.538126
9,"Florida, USA","RT @TruthHammer888: My father will not explain for you, the things Q has said, and what's going on with Trump, because (as other former int…",Rickfh4760,4828,1252395177844461569,2020-04-21T00:34:13,0,-0.0625,2020-04-20T18:34:18.609217
10,"Sugar Land, Texas","RT @TribulationThe: NO SURPRISE HERE!!!!! 

Facebook Working With State Governments to Take Down Coronavirus Lockdown Protest Announcements…",ltlgcoach,25548,1252395177995431936,2020-04-21T00:34:13,0,-0.15555555555555559,2020-04-20T18:34:18.613328
11,"Maplewood, NY","RT @Amy_Siskind: It is still horrifying that up until Trump the US was viewed as a global leader for pandemics.  

And under him, 4 months…",FlowerGirlOne,907,1252395178159034377,2020-04-21T00:34:13,0,-0.45,2020-04-20T18:34:18.646286
12,"Texas, USA",RT @nresp1: @JoeConchaTV People have a greater responsibility to themselves to do the right thing. MSM stop blaming Trump for each individu…,jfh9042020,14,1252395178343591943,2020-04-21T00:34:13,0,0.39285714285714285,2020-04-20T18:34:18.693979
13,"Tennessee, USA","RT @minhtngo: Trump: “I watched the protest, and they were all 6 feet apart. It was an orderly group of people.” https://t.co/nQc9rpUHGB",JonesRj1964,2560,1252395178817544192,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.791907
14,United States,RT @Acosta: Trump responding to criticism that he downplayed virus: “a lot of people love me.”,Sherry63K,3594,1252395179153092611,2020-04-21T00:34:13,0,0.5,2020-04-20T18:34:18.858412
15,Kentucky,RT @Acosta: Trump: “I haven’t left the WH in months.” (He had several rallies in Feb and one in March),d_schmitty86,130,1252395179689959424,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.980869
16,Multiverse,RT @MontyBoa99: @PressSec Tolstoy explains why Trump is so craven. https://t.co/BVaAcR4TwX,being_nontheist,1078,1252395179664760834,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:18.988979
17,"Ontario, Canada","RT @amneetbali: Horrifying.

Modi's India is using the Poor who are disproportionately Muslim, Dalit &amp; darker skinned as lab rats for Trump…",kamorant,1944,1252395179698319361,2020-04-21T00:34:13,0,-0.65,2020-04-20T18:34:18.993613
18,Moon,RT @aveeksen: Indian right wingers didn't bat a lid when Trump insulted India. But they will troll UAE's princess for their right to be com…,Riddikulus80,962,1252395179677380608,2020-04-21T00:34:13,0,0.2857142857142857,2020-04-20T18:34:19.019781
19,somewhere,"RT @davidhogg111: Do you want to know the secret way we can defeat Trump? 
Its pretty simple: 

Fucking Vote",dannynarwhal,43,1252395180134526976,2020-04-21T00:34:13,0,-0.1875,2020-04-20T18:34:19.108617
20,Ohio,"RT @mmpadellan: I have NEVER referred to trump as ""president."" Hell, I don't even capitalize his last name.

He hasn't earned that respect.…",goldenpartyrent,2815,1252395179878674433,2020-04-21T00:34:13,0,0.0,2020-04-20T18:34:19.111989
21,"Palm Springs, CA",American's need to listen to the Governors and scientists and not to the misinformation spewed by Trump and his min… https://t.co/aOSxDDIDze,Chipper52,16,1252395180520386560,2020-04-21T00:34:14,0,0.0,2020-04-20T18:34:19.203772
22,Planet Earth,"RT @Acyn: Yamiche: You held rallies in February and March
Trump: I don’t know about rallies. I really don’t know about rallies. I haven’t l…",TheClearCider,6422,1252395180717535237,2020-04-21T00:34:14,0,0.2,2020-04-20T18:34:19.245992
23, Canada,RT @joncoopertweets: Trump is a psychopath.,Karen_happygram,2303,1252395180843397138,2020-04-21T00:34:14,0,0.0,2020-04-20T18:34:19.261098
24,New England,RT @aroseblush: Trump Rally # 1 https://t.co/jT5NloxJ2G,aroseblush,25774,1252395180713340932,2020-04-21T00:34:14,0,0.0,2020-04-20T18:34:19.307479
25,"Phoenix, AZ","RT @JoeBiden: We have to come together to make Donald Trump a one-term president. Once we do that, we will not only do the hard work of reb…",pcphx90,211,1252395180910510084,2020-04-21T00:34:14,0,-0.14583333333333334,2020-04-20T18:34:19.310268
26,United States,"RT @marklevinshow: President Trump's proclamation on Holocaust Remembrance Day
https://t.co/sbA3yHmjIQ",KLDUDE,12049,1252395181103386624,2020-04-21T00:34:14,0,0.0,2020-04-20T18:34:19.331379
